Εταίρος ΕΦΔ,Κωδικός Πρότασης,Επωνυμία Επιχείρησης,ΚΑΔ Επένδυσης,Περιγραφή ΚΑΔ Επένδυσης,Περιφέρεια Υλοποίησης,ΠΕΠ,Συνολικός Προϋπολογισμός,Επιχορηγούμενος Προϋπολογισμός,Δημόσια Δαπάνη Ολοκλήρωσης
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00653                      ,I.B.S. ΒΙΟΜΗΧΑΝΙΑ ΑΝΑΨΥΚΤΙΚΩΝ - ΠΛΑΣΤΙΚΩΝ ΑΝΩΝΥΜΗ ΕΙΣΑΓΩΓΙΚΗ ΚΑΙ ΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΕΙΑ,11.07.19.01,Παραγωγή αεριούχων ή μη αναψυκτικών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),116808.26,116808.25,52563.71
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00658                      ,EMMIS ABEE ΗΛΕΚΤΡΙΚΩΝ & ΗΛΕΚΤΡΟΝΙΚΩΝ ΣΥΣΚΕΥΩΝ & ΕΦΑΡΜΟΓΩΝ,27.12,Κατασκευή συσκευών διανομής και ελέγχου ηλεκτρικού ρεύματος,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),86731.44,88877.82,39029.15
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00665                      ,1984 PRODUCTIONS AΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΚΜΕΤΑΛΛΕΥΣΗΣ ΗΧΟΥ ΚΑΙ ΕΙΚΟΝΑΣ,63.12.10,Παραγωγή περιεχόμενου δικτυακών πυλών (web portals),ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),48500.00,48500.00,21825.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00693                      ,Γ. ΜΟΝΕΔΑΣ & ΣΙΑ Ε.Ε.,14.13.3,"Κατασκευή άλλων εξωτερικών ενδυμάτων, για γυναίκες και κορίτσια",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),229484.32,229484.33,103267.95
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00698                      ,ΑΕΒΕ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΚΑΙ ΚΑΛΛΥΝΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ LAVIPHARM Α.Ε.,21.20.1,Παραγωγή φαρμάκων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεγάλες),155607.23,155607.23,62242.89
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00701                      ,VIVACITY ΔΙΑΦΗΜΙΣΤΙΚΗ ΕΠΕ,58.13.3,Διάθεση διαφημιστικού χώρου σε εφημερίδες,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),71704.00,64304.00,28936.80
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00702                      ,MAPIN ΠΑΝΤΕΛΗΣ ΑΤΟΜΙΚΗ ΕΠΙΧΕΙΡΗΣΗ,58.11,Έκδοση βιβλίων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),131762.13,131762.13,59292.96
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00714                      ,ΚΑΨΑΛΗ ΓΕΩΡΓΙΑ,26.12.3,"Κατασκευή καρτών με ηλεκτρονικά ολοκληρωμένα κυκλώματα (""έξυπνων"" καρτών)",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),154396.94,154396.94,77198.47
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00721                      ,ΥΑΛΟΔΟΜΗ ΜΑΥΡΟΠΟΥΛΟΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,23.12.11,"Μορφοποίηση και κατεργασία γυαλιού σε φύλλα, κυρτωμένου, με κατεργασμένα άκρα, χαραγμένου, διάτρητου, εφυαλωμένου ή κατά άλλο τρόπο κατεργασμένου, αλλά μη πλαισιωμένου ή συναρμολογημένου",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),156599.48,148070.00,66631.50
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00722                      ,ΛΙΑΤΣΟΣ ΕΜΠΟΡΙΚΗ ΤΕΧΝΙΚΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,41.20.1,Κατασκευή οικιστικών κτιρίων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),42383.29,39192.89,17260.08
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00736                      ,ΠΑΠΑΔΟΠΟΥΛΟΣ - ΧΡΙΣΤΟΠΟΥΛΟΣ ΒΙΑΠ MENTEL ΑΒΕΕ,10.82.2,Παραγωγή προϊόντων σοκολατοποιίας και ζαχαροπλαστικής,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),65838.64,63736.85,28681.58
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00738                      ,"ADAPT it (ΑΝΤΑΠΤ IT) - ΤΕΧΝΟΛΟΓΙΚΕΣ ΛΥΣΕΙΣ ΑΝΑΛΥΣΗΣ, ΥΠΟΣΤΗΡΙΞΗΣ ΚΑΙ ΒΕΛΤΙΣΤΟΠΟΙΗΣΗΣ ΕΠΙΧΕΙΡΗΜΑΤΙΚΩΝ ΛΕΙΤΟΥΡΓΙΩΝ ΚΑΙ ΥΠΟΔΟΜΩΝ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ",62.01.12,Υπηρεσίες σχεδιασμού και ανάπτυξης τεχνολογιών της πληροφορίας για δίκτυα και συστήματα,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),113127.75,116708.98,50907.49
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00740                      ,"ΓΡΑΦΙΚΕΣ ΤΕΧΝΕΣ ΑΦΩΝ ΡΟΗ, ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ",18.14.10.01,"Άλλες εργασίες τελειώματος εντύπων (π.χ. δίπλωση, κοπή, εκτύπωση, διάτρηση μη προδιαμορφωμένων οπών, διατμητική διάτρηση, διάτρηση, ανάγλυφη αποτύπωση, κόλληση και διαχωρισμός σε λεπτά φύλλα)",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),93171.30,93171.31,41927.09
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00745                      ,ΑΦΟΙ ΒΥΤΟΓΙΑΝΝΗ Α.Β.Ε.,25.92.13.01,Κατασκευή μεταλλικών πωμάτων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),92259.70,92259.71,41234.59
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00747                      ,ΤΟΠΟΜΕΤΡΙΑ ΕΠΕ ,58.29,Έκδοση άλλου λογισμικού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),64619.47,64619.47,29078.76
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00760                      ,ZANADOO ΤΗΛΕΠΙΚΟΙΝΩΝΙΑΚΕΣ ΥΠΗΡΕΣΙΕΣ Ε.Π.Ε.,70.22.15.04,Υπηρεσίες παροχής συμβουλών οργάνωσης της μεθόδου εργασίας,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),66800.00,66100.00,29745.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00762                      ,ΛΕΙΤΟΥΡΓΙΚΕΣ ΜΙΣΘΩΣΕΙΣ Α.Ε.,33.12.1,Υπηρεσίες επισκευής και συντήρησης μηχανημάτων γενικής χρήσης,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),102232.00,102232.00,46004.40
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00765                      ,PRAEVID ΔΙΑΦΗΜΙΣΤΙΚΕΣ ΕΦΑΡΜΟΓΕΣ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,18.12.1,Άλλες υπηρεσίες εκτύπωσης,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),79414.17,79414.16,35514.85
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00768                      ,Ν.ΑΣΗΜΑΚΟΠΟΥΛΟΣ ΑΝΩΝΥΜΟΣ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΟΛΟΚΛΗΡΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ ΣΚΙΑΣΗΣ ΚΑΙ ΔΙΑΜΟΡΦΩΣΗΣ,13.92.15,Κατασκευή παραπετασμάτων κάθε είδους και στοριών για εσωτερικούς χώρους· γύρων (ποδιών) κουρτινών ή κρεβατιών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),181277.15,178771.89,80447.35
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00776                      ,ΣΤ. ΠΕΠΠΑΣ ΚΑΙ ΣΙΑ ΕΕ,46.43.11.08,"Χονδρικό εμπόριο ηλεκτρικών συναγερμών διάρρηξης ή φωτιάς, ακουστικής ή οπτικής σηματοδότησης",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),123630.88,111665.20,55832.60
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00785                      ,ΕΝΤΕΡΣΟΦΤ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΛΟΓΙΣΜΙΚΟΥ ΚΑΙ ΥΠΗΡΕΣΙΩΝ,62.01.11.01,"Παραγωγή προγραμμάτων ηλεκτρονικών υπολογιστών, που παράγονται ή ολοκληρώνονται κατόπιν παραγγελίας",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),106177.11,103670.55,46651.75
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00791                      ,ΝΙΚΟΣ ΣΩΤΗΡΟΠΟΥΛΟΣ ΚΑΙ ΥΙΟΙ ΕΠΙΠΛΑ ΚΟΥΖΙΝΑΣ ΚΑΙ ΞΥΛΟΥΡΓΙΚΕΣ ΕΡΓΑΣΙΕΣ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,31.02.10.02,"Κατασκευή ξύλινων επίπλων κουζίνας, από μονάδα που απασχολεί τρεις και άνω εργάτες",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),64030.52,64030.53,28818.73
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00792                      ,PROFILE ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΙΚΗ & ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΠΛΗΡΟΦΟΡΙΚΗΣ,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),234605.01,232909.95,104809.48
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00794                      ,ΑΔΕΛΦΟΙ ΝΙΚΟΛΟΠΟΥΛΟΙ ΟΕ,27.12,Κατασκευή συσκευών διανομής και ελέγχου ηλεκτρικού ρεύματος,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),71479.31,56208.64,25293.89
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00795                      ,ΚΑΛΛΙΓΚΑΝ ΕΛΛΑΣ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΙΑ ΕΙΔΩΝ ΕΠΕΞΕΡΓΑΣΙΑΣ ΥΔΑΤΟΣ,28.29.12,"Κατασκευή μηχανημάτων και συσκευών διήθησης ή καθαρισμού, για υγρά",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),134153.16,134153.16,60368.92
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00796                      ,INTERTRANSLATIONS ΜΕΤΑΦΡΑΣΕΙΣ ΜΟΝΟΠΡΩΣΩΠΗ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,62.09.20,Άλλες υπηρεσίες των τεχνολογιών της πληροφορίας και των ηλεκτρονικών υπολογιστών π.δ.κ.α.,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),100569.47,95647.60,42134.39
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00797                      ,AMAZE ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΣΕ ΔΙΑΔΙΚΤΥΟ ΤΗΛΕΠΙΚΟΙΝΩΝΙΕΣ ΚΑΙ ΠΛΗΡΟΦΟΡΙΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,62.01.1,Υπηρεσίες σχεδιασμού και ανάπτυξης τεχνολογιών της πληροφορίας,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),207879.69,207879.69,93545.86
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00798                      ,GLOBALSOFT ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΛΟΓΙΣΜΙΚΟΥ ΚΑΙ ΥΛΙΚΟΥ ΥΠΟΛΟΓΙΣΤΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ ,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),175000.00,175000.00,78750.00
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00799                      ,ΜΕΤΙΣ ΣΥΜΒΟΥΛΟΙ ΤΕΧΝΟΛΟΓΙΑΣ & ΚΑΙΝΟΤΟΜΙΑΣ Α.Ε.,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),141195.52,141195.53,63537.99
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00802                      ,EUROTEL HOSPITALITY-ΔΙΑΧΕΙΡΙΣΗ ΦΙΛΟΞΕΝΙΑΣ-ΠΡΟΙΟΝΤΑ ΚΑΙ ΥΠΗΡΕΣΙΕΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,62.02.30.02,Υπηρεσίες τεχνικής υποστήριξης εξειδικευμένου λογισμικού εφαρμογών,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),72296.00,72296.00,32533.20
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00805                      ,LUNA ΑΕ ΚΑΤΑΣΚΕΥΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΕΣΩΡΟΥΧΩΝ ΚΑΙ ΕΝΔΥΜΑΤΩΝ,46.45.10.04,"Χονδρικό εμπόριο ξυριστικών παρασκευασμάτων, αποσμητικών και αντιιδρωτικών για το σώμα, παρασκευασμάτων για το λουτρό, άλλων αρωμάτων καλλυντικών ή παρασκευασμάτων καλλωπισμού π.δ.κ.α.",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),212145.44,212145.44,106072.72
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00806                      ,TEFEL LIGHTING ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,27.40.4,Κατασκευή μερών λαμπτήρων και φωτιστικού εξοπλισμού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),62351.35,62351.35,28058.11
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00823                      ,ΤΕΧΝΙΚΗ ΠΡΟΣΤΑΣΙΑΣ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,24.53,Χύτευση ελαφρών μετάλλων,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),78786.92,56480.55,25416.25
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00828                      ,ΚΑΙΣΑΡ ΑΝΩΝΥΜΗ ΤΕΧΝΙΚΗ ΕΤΑΙΡΕΙΑ,41.20,Κατασκευαστικές εργασίες κτιρίων για κατοικίες και μη,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),55384.40,63115.69,24443.87
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00829                      ,ΓΡΑΦΙΚΑΙ ΤΕΧΝΑΙ ΣΤΕΦΑΝΟΣ ΚΑΡΥΔΑΚΗΣ Α.Ε,18.12.19,Άλλες υπηρεσίες εκτύπωσης π.δ.κ.α.,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μεσαίες),106676.34,106094.18,47742.38
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00830                      ,ARISTON BROADCAST & TELECOM SOLUTIONS (ΑΡΙΣΤΟΝ ΜΠΡΟΝΤΚΑΣΤ & ΤΕΛΕΚΟΜ ΣΟΛΟΥΣΙΟΝΣ) ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΣΥΣΤΗΜΑΤΩΝ ΥΨΗΛΗΣ ΤΕΧΝΟΛΟΓΙΑΣ,33.20.4,Υπηρεσίες εγκατάστασης ηλεκτρονικού και οπτικού εξοπλισμού,ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),79574.10,79574.11,35808.35
ΕΛ.ΑΝ.ΕΤ,ΕΞ-00832                      ,ΣΥΜΒΟΥΛΟΙ -ΟΛΚΛΗΡΩΜΕΝΑ ΣΥΣΤΗΜΑΤΑ ΕΤΑΙΡΕΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ ,62.01.11.07,"Υπηρεσίες σχεδιασμού, υποστήριξης και ολοκλήρωσης συστήματος λογισμικού",ΑΤΤΙΚΗ,ΠΕΠ Αττικής - Άξονας 3 (Μικρές και Πολύ Μικρές),37000.00,36666.67,16500.00
